tokens,LOC,ORG,PER,sentiment,neutral,positive
komisija mora narediti kolega b komisija analizirati vzrok cena hrana komisija biti morati o ta biti komisija odločati september da biti morati komisija narediti analiza,0,1,0,3,1,-1
današnji srečanje v povedati minister za,1,0,0,3,1,-1
po njun beseda in francija podoben podoben usmeritev in francija jarce imeti francija in precej podoben stališče politika z jesti stabilnost v usmeritev francija in tudi po let čas prihajajoč predsedovanje eu ki,0,1,0,3,1,-1
beseda slovenija in podoben stališče glede usmeritev slovenija in jarce jesti dejati da imeti in slovenija precej da biti usmeritev in slovenija tudi nato predsedovanje predal spregovoriti tudi,0,1,0,3,1,-1
v čas predsedovanje prihodnji leto med možen ukrep jesti barniera omeniti kaj lahek narediti za umiritev prihajajoč predsedovanje slovenija ki biti,0,1,0,3,1,-1
ukrep eu jesti omeniti obnova zemlja dogajanje jesti odgovoriti na vprašanje posledica p mnenje iti za jarce p mnenje jesti treba jesti povedati sicer jesti jesti še dejati,0,0,1,4,0,1
raven tuditi mena da slovenija in francija jesti dejati jesti povedati p barnierjev sicer jesti pritrditi mnenje da,0,0,1,4,0,1
stelzero jesti že sin france rosti stelzero že oddati v dubaj živeti stelzero ki ker pa se s ta biti on jesti predlagati pet september da biti nemški odvetnik sporočiti biti roda in po protokol soden,0,0,1,3,1,-1
analiza dnk roda naj biti jesti domneven sin rosti petra stelzero naj biti imeti let 1969 intimen želja da oprava test očetovstvo da jesti pripravljen opraviti test v kateri biti in stelzero po,0,0,1,3,1,-1
on oddati v p poročanje soden medicina v n pa,1,0,0,3,1,-1
intimen razmerje s breda s,0,0,1,3,1,-1
leto pozneje v roditi otrok opraviti test v obenem pa,1,0,0,3,1,-1
biti danes v živeti petra stelzero,1,0,0,3,1,-1
ta oprava na za soden medicina fakulteta univerza v ker pa,0,1,0,3,1,-1
tak v pisarna klemenčičev v izjava,0,0,1,3,1,-1
katastrofa se biti morati da jesti iti prej v evropski v ljubljana videti kot rusija odstopiti jesti v evropski jesti korupcija v velik problem,1,0,0,3,1,-1
slovenija prej v unija k slovenija jesti v unija in čas,1,0,0,3,1,-1
o preiskava pri janković sem,0,0,1,2,0,0
ne dogajati na gra res,1,0,0,3,1,-1
ki živ v slovenija videti,1,0,0,3,1,-1
slovenija videti kot pred 20 leto,1,0,0,3,1,-1
ostajati nekaznovan veda kaj,0,0,1,2,0,0
v vsak leto preiskovati,1,0,0,3,1,-1
pa deti mena mälkiä,0,0,1,3,1,-1
vprašanje odgovoriti iz virant zanimati,0,1,0,3,1,-1
ves možnost na za socialen delo,0,1,0,3,1,-1
v ime pa odgovor biti,0,0,1,2,0,0
dočakati od odgovor biti prejeti,0,0,1,2,0,0
dopisovanje komentirati sekretarka ljubljana moste komentirati sekretarka zpm moste polje sekretarka zpm ljubljana polje aniti moste polje ogulina žeti,0,1,0,3,1,-1
biti rušenje domačija jaklič med prvi zgrajen objekt pa odhajati na kateri biti lahek sam porušiti svoj in prostor domačija biti polhograjski dolomit odhajati na balkan danes pa jesti potrdilo da ekipa družba se jesti v za javnost navesti namestnik direktor namestnik direktor ljubljana ll namestnik direktor lekarna ll lekarna ljubljana in direktor požareport naj biti odhajati v beograd,0,0,1,2,0,0
nelegalen gradnja v nad polhov gradec,1,0,0,3,1,-1
danes sporočiti z republika slovenija za,0,1,0,3,1,-1
ležati objekt v park polhograjski dolomit,1,0,0,3,1,-1
jaklič odhajati na danes pa jesti velik zgodba na ki pa,1,0,0,3,1,-1
in direktor grosist marko žnidaršič direktor ll grosist žnidaršič pomočnica,0,1,0,3,1,-1
skrbnica blagoven znamka klavdij verlak blagoven znamka ll verlak svet,0,1,0,3,1,-1
poročanje spleten portati naj biti jaklič,0,1,0,3,1,-1
jaklič odhajati v toda ne,1,0,0,3,1,-1
ne za direktor index kateri,0,1,0,3,1,-1
srbski farmacevtski podjetje,0,1,0,3,1,-1
zbor jesti danes na septembrski seja bogomirjati ereči komisija pa jesti predlagati naj on jesti imenovati zbor v da jesti sploh začeti postopek da mora delovati kot dober edin logičen jesti danes do strnad jesti namreč zbor 9,0,1,0,3,1,-1
biti biti imenovan eržen damijan seja dz ereči jesti predlagati sds z knap in,0,0,1,3,1,-1
bogomir eržen knapa mart skupina sd knap poslanski skupina z ereči in gordan višinski,0,0,1,3,1,-1
damijan knapa kos marko skupina dl kos marko poslanski šest za markov in zadergati,0,0,1,3,1,-1
kos marko višinski in drago pozitiven slovenija višinski poslanski skupina knap in višinski jesti glasovati,0,0,1,3,1,-1
gordan višinski in zadergati v skupina desus zadergati pa poslanski kos markov in pa jesti biti,0,0,1,3,1,-1
predlagati poslanski skupina damijan knap opozicijski poslanski skupina in ps pa janko veber izraziti zgroženost,0,1,0,3,1,-1
knap poslanski skupina marta kos,0,1,0,3,1,-1
marko poslanski skupina slovenija gordan skupina sd in pa biti opozoriti,0,1,0,3,1,-1
višinski poslanski skupina drago zadergati,0,1,0,3,1,-1
pa poslanski skupina z ereči joža tanka oceniti predlagati poslanski skupina,0,1,0,3,1,-1
sicer april pozvati odbor za izobraževanje,0,1,0,3,1,-1
in mladina jesti nato konec,0,1,0,3,1,-1
predstavljati ustanovitelj volilen komisija,0,1,0,3,1,-1
do iztekati mandati volilen komisija za,0,1,0,3,1,-1
dušan strnada imenovati kluna strnad tak tudi pri ki on,0,0,1,3,1,-1
jesti danes na leon štukljati v danes na trg štukljati v maribor,1,0,0,3,1,-1
leon štukljati v na protesten shod,1,0,0,3,1,-1
jesti dejati pred,0,0,1,3,1,-1
jesti dejati ki jesti,0,0,1,4,0,1
tudi sporočilo pesnik zlobec t jesti zapisati in premier janez,0,0,1,4,0,1
kateri biti morati odstopiti,0,1,0,3,1,-1
zvrstiti tudi igralka jankovič in drago,0,0,1,3,1,-1
lar jankovič in potočnjak raper,0,0,1,3,1,-1
nekdanji član ludvik čanžek nekdanji član sds čanžek predstavnik,0,1,0,3,1,-1
zveza svoboden sindikat breda črnčece in svoboden sindikat slovenija črnčece in zbran,0,1,0,3,1,-1
november v,1,0,0,3,1,-1
slovenija jesti nocoj jesti nocoj v živ iz studio slovenija začeti iz studio televizija začeti pa novinarjev in dopisnik z najbolj prizadet biti sporočiti iz voditelj osrednji,0,1,0,3,1,-1
jesti sodelovati tudi orkester rtvs s tudi simfoničen orkester s tinkara kovač,0,1,0,3,1,-1
orkester rtvs s kovač nuša,0,0,1,3,1,-1
tinkara kovač derend darja,0,0,1,3,1,-1
nuša derend švajger eroika,0,0,1,3,1,-1
darja švajger jan plestenjak,0,1,0,3,1,-1
eroika plestenjak ansambel,0,0,1,3,1,-1
jan plestenjak franc miheličati plestenjak ansambel miheličati otroški,0,1,0,3,1,-1
franc miheličati pevski zbor rtv otroški pevski zbor slo in drug,0,1,0,3,1,-1
oddaja biti biti bobovnik jasmin,0,0,1,3,1,-1
slavko bobovnik jamnik in jelen,0,0,1,3,1,-1
jasmin jamnik in aščić z,0,0,1,3,1,-1
biti najbolj prizadeti koroško,1,0,0,3,1,-1
prizadeti štajersko posavje in,1,0,0,3,1,-1
koroško in posočje,1,0,0,3,1,-1
posavje in vod jesti,1,0,0,3,1,-1
med drug odločiti karitas rdeč drug odločiti slovenski rdeč križ,0,1,0,4,0,1
slovenski karitas križ slovenija in rdeč križ in poslanski skupina,0,1,0,4,0,1
jesti položaj obdržati binder poleg,0,0,1,3,1,-1
biti izvoliti predsednik delodajalec slovenija milan predsednik združenje delodajalec milan lukić združenje delodajalec slovenija lukić generalen,0,1,0,3,1,-1
generalen sekretar delodajalec obrt in obrt in podjetnik antauer in predsednica,0,1,0,3,1,-1
predsednica upraven odbor zbornica slovenija marija odbor trgovinski zbornica marija lah trgovinski zbornica slovenija lah predstavnik,0,1,0,3,1,-1
biti še naprej zupančič in petra,0,0,1,3,1,-1
cvetka zupančič in vrisk odvetniški,0,0,1,3,1,-1
petra vrisk zbornica slovenija jesti odvetniški zbornica jesti za predstavnica,0,1,0,3,1,-1
samostojen poklic predlagati potočan univerza,0,0,1,3,1,-1
pejovnik ravnatelj oper in balet oper in balet mitja bervara jesti in balet ljubljana bervara jesti zastopnik,0,1,0,3,1,-1
biti izvoliti sekretarka center za socialen za socialen delo kuzmanič korva,0,1,0,3,1,-1
delojemalec biti sindikalist semolič branimir,0,0,1,3,1,-1
dušan semolič štruklja drago,0,0,1,3,1,-1
branimir štruklja ščernjavič in oskar,0,0,1,3,1,-1
drago ščernjavič in komaca alojz,0,0,1,3,1,-1
oskar komaca kovšec biti še,0,0,1,3,1,-1
interes obrtnik društvo slavističen društvo društvo slavističen društvo pa jesti za,0,1,0,3,1,-1
in izobraževanje predlagati božič svetniški,0,0,1,3,1,-1
